Rank,Title,Url,Year
1,The Shawshank Redemption,/title/tt0111161/,1994
2,The Godfather,/title/tt0068646/,1972
3,The Godfather: Part II,/title/tt0071562/,1974
4,The Dark Knight,/title/tt0468569/,2008
5,12 Angry Men,/title/tt0050083/,1957
6,Schindler's List,/title/tt0108052/,1993
7,The Lord of the Rings: The Return of the King,/title/tt0167260/,2003
8,Pulp Fiction,/title/tt0110912/,1994
9,"Il buono, il brutto, il cattivo",/title/tt0060196/,1966
10,The Lord of the Rings: The Fellowship of the Ring,/title/tt0120737/,2001
11,Fight Club,/title/tt0137523/,1999
12,Forrest Gump,/title/tt0109830/,1994
13,Inception,/title/tt1375666/,2010
14,The Lord of the Rings: The Two Towers,/title/tt0167261/,2002
15,Star Wars: Episode V - The Empire Strikes Back,/title/tt0080684/,1980
16,The Matrix,/title/tt0133093/,1999
17,Goodfellas,/title/tt0099685/,1990
18,One Flew Over the Cuckoo's Nest,/title/tt0073486/,1975
19,Shichinin no samurai,/title/tt0047478/,1954
20,Se7en,/title/tt0114369/,1995
21,La vita è bella,/title/tt0118799/,1997
22,Cidade de Deus,/title/tt0317248/,2002
23,The Silence of the Lambs,/title/tt0102926/,1991
24,It's a Wonderful Life,/title/tt0038650/,1946
25,Star Wars,/title/tt0076759/,1977
26,Saving Private Ryan,/title/tt0120815/,1998
27,Sen to Chihiro no kamikakushi,/title/tt0245429/,2001
28,The Green Mile,/title/tt0120689/,1999
29,Interstellar,/title/tt0816692/,2014
30,Gisaengchung,/title/tt6751668/,2019
31,Léon,/title/tt0110413/,1994
32,The Usual Suspects,/title/tt0114814/,1995
33,Seppuku,/title/tt0056058/,1962
34,The Lion King,/title/tt0110357/,1994
35,The Pianist,/title/tt0253474/,2002
36,Back to the Future,/title/tt0088763/,1985
37,Terminator 2: Judgment Day,/title/tt0103064/,1991
38,American History X,/title/tt0120586/,1998
39,Modern Times,/title/tt0027977/,1936
40,Psycho,/title/tt0054215/,1960
41,Gladiator,/title/tt0172495/,2000
42,City Lights,/title/tt0021749/,1931
43,The Departed,/title/tt0407887/,2006
44,The Intouchables,/title/tt1675434/,2011
45,Whiplash,/title/tt2582802/,2014
46,The Prestige,/title/tt0482571/,2006
47,Hotaru no haka,/title/tt0095327/,1988
48,Once Upon a Time in the West,/title/tt0064116/,1968
49,Casablanca,/title/tt0034583/,1942
50,Hamilton,/title/tt8503618/,2020
51,Nuovo Cinema Paradiso,/title/tt0095765/,1988
52,Rear Window,/title/tt0047396/,1954
53,Alien,/title/tt0078748/,1979
54,Apocalypse Now,/title/tt0078788/,1979
55,Memento,/title/tt0209144/,2000
56,The Great Dictator,/title/tt0032553/,1940
57,Raiders of the Lost Ark,/title/tt0082971/,1981
58,Django Unchained,/title/tt1853728/,2012
59,The Lives of Others,/title/tt0405094/,2006
60,Joker,/title/tt7286456/,2019
61,Paths of Glory,/title/tt0050825/,1957
62,WALL·E,/title/tt0910970/,2008
63,The Shining,/title/tt0081505/,1980
64,Avengers: Infinity War,/title/tt4154756/,2018
65,Sunset Blvd.,/title/tt0043014/,1950
66,Witness for the Prosecution,/title/tt0051201/,1957
67,Oldeuboi,/title/tt0364569/,2003
68,Spider-Man: Into the Spider-Verse,/title/tt4633694/,2018
69,Mononoke-hime,/title/tt0119698/,1997
70,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,/title/tt0057012/,1964
71,The Dark Knight Rises,/title/tt1345836/,2012
72,Once Upon a Time in America,/title/tt0087843/,1984
73,Aliens,/title/tt0090605/,1986
74,Kimi no na wa.,/title/tt5311514/,2016
75,Coco,/title/tt2380307/,2017
